ward_id,year_month,predicted_density
E05011098,2024-12,20.5939
E05011098,2025-01,21.196222
E05011098,2025-02,19.887218
E05011099,2024-08,2.925003
E05011099,2024-09,2.826106
E05011099,2024-10,2.9983678
E05011099,2024-11,3.1594055
E05011099,2024-12,3.2865248
E05011099,2025-01,2.9355557
E05011099,2025-02,2.790663
E05011100,2024-08,1.9854988
E05011100,2024-09,2.0720198
E05011100,2024-10,2.3754008
E05011100,2024-11,2.5295222
E05011100,2024-12,2.5445213
E05011100,2025-01,2.4569275
E05011100,2025-02,2.3028061
E05011101,2024-08,1.389186
E05011101,2024-09,1.4032986
E05011101,2024-10,1.5365444
E05011101,2024-11,1.5365444
E05011101,2024-12,1.6645049
E05011101,2025-01,1.8304185
E05011101,2025-02,1.8304185
E05011102,2024-08,9.862585
E05011102,2024-09,9.114478
E05011102,2024-10,9.335623
E05011102,2024-11,9.38289
E05011102,2024-12,9.591132
E05011102,2025-01,10.035168
E05011102,2025-02,9.844312
E05011103,2024-08,4.9001513
E05011103,2024-09,4.8969383
E05011103,2024-10,4.6388574
E05011103,2024-11,4.299781
E05011103,2024-12,4.0005774
E05011103,2025-01,4.0134115
E05011103,2025-02,4.506574
E05011104,2024-08,11.824862
E05011104,2024-09,11.072579
E05011104,2024-10,10.924491
E05011104,2024-11,12.552396
E05011104,2024-12,12.6059675
E05011104,2025-01,13.299666
E05011104,2025-02,12.525894
E05011105,2024-08,9.535265
E05011105,2024-09,8.990094
E05011105,2024-10,8.950215
E05011105,2024-11,9.324561
E05011105,2024-12,9.193652
E05011105,2025-01,9.651085
E05011105,2025-02,10.313043
E05011106,2024-08,11.66211
E05011106,2024-09,11.413531
E05011106,2024-10,11.401199
E05011106,2024-11,11.456473
E05011106,2024-12,11.937322
E05011106,2025-01,12.261241
E05011106,2025-02,11.904271
E05011107,2024-08,9.478897
E05011107,2024-09,9.8098135
E05011107,2024-10,10.55328
E05011107,2024-11,10.485026
E05011107,2024-12,10.5567465
E05011107,2025-01,10.832227
E05011107,2025-02,10.868222
E05011108,2024-08,5.252926
E05011108,2024-09,4.7313147
E05011108,2024-10,5.4128227
E05011108,2024-11,4.992038
E05011108,2024-12,5.842508
E05011108,2025-01,5.5670424
E05011108,2025-02,5.811958
E05011109,2024-08,3.474879
E05011109,2024-09,3.6404161
E05011109,2024-10,4.1905236
E05011109,2024-11,4.24629
E05011109,2024-12,4.075573
E05011109,2025-01,4.7381167
E05011109,2025-02,4.2974043
E05011110,2024-08,8.965118
E05011110,2024-09,8.547471
E05011110,2024-10,9.746223
E05011110,2024-11,10.008054
E05011110,2024-12,8.7210245
E05011110,2025-01,9.968901
E05011110,2025-02,9.696472
E05011111,2024-08,1.6251268
E05011111,2024-09,1.8109198
E05011111,2024-10,1.8823155
E05011111,2024-11,1.8941075
E05011111,2024-12,2.0590668
E05011111,2025-01,1.9517622
E05011111,2025-02,1.8762671
E05011112,2024-08,4.435712
E05011112,2024-09,4.133508
E05011112,2024-10,4.5152035
E05011112,2024-11,5.00941
E05011112,2024-12,4.4792056
E05011112,2025-01,4.2666955
E05011112,2025-02,3.873075
E05011113,2024-08,11.748616
E05011113,2024-09,11.1495905
E05011113,2024-10,10.440533
E05011113,2024-11,10.327982
E05011113,2024-12,10.472314
E05011113,2025-01,11.278778
E05011113,2025-02,10.517867
E05011114,2024-08,8.549097
E05011114,2024-09,7.436932
E05011114,2024-10,8.035361
E05011114,2024-11,9.435631
E05011114,2024-12,9.604103
E05011114,2025-01,9.3987875
E05011114,2025-02,9.238755
E05011115,2024-08,6.7368755
E05011115,2024-09,5.411967
E05011115,2024-10,5.7023983
E05011115,2024-11,5.4549623
E05011115,2024-12,5.352545
E05011115,2025-01,5.589186
E05011115,2025-02,6.0992427
E05011116,2024-08,11.057203
E05011116,2024-09,10.861245
E05011116,2024-10,10.60268
E05011116,2024-11,10.00775
E05011116,2024-12,10.7961445
E05011116,2025-01,10.768109
E05011116,2025-02,10.732044
E05011117,2024-08,5.4301043
E05011117,2024-09,5.2195363
E05011117,2024-10,5.1945486
E05011117,2024-11,5.4354067
E05011117,2024-12,5.191862
E05011117,2025-01,5.0480824
E05011117,2025-02,5.266571
E05011217,2024-08,0.76177514
E05011217,2024-09,0.82853824
E05011217,2024-10,0.8451976
E05011217,2024-11,0.8451976
E05011217,2024-12,0.8451976
E05011217,2025-01,0.8451976
E05011217,2025-02,0.8451976
E05011218,2024-08,1.1737831
E05011218,2024-09,1.2633907
E05011218,2024-10,1.2114815
E05011218,2024-11,1.2114815
E05011218,2024-12,1.2114815
E05011218,2025-01,1.1593415
E05011218,2025-02,1.2114815
E05011219,2024-08,1.0332972
E05011219,2024-09,1.1000603
E05011219,2024-10,1.048151
E05011219,2024-11,1.1167197
E05011219,2024-12,1.048151
E05011219,2025-01,1.048151
E05011219,2025-02,1.048151
E05011220,2024-08,0.66859
E05011220,2024-09,0.7353533
E05011220,2024-10,0.75201267
E05011220,2024-11,0.75201267
E05011220,2024-12,0.8098763
E05011220,2025-01,0.9864743
E05011220,2025-02,0.87353194
E05011221,2024-08,0.76177514
E05011221,2024-09,0.82853824
E05011221,2024-10,0.8451976
E05011221,2024-11,0.8451976
E05011221,2024-12,0.8977175
E05011221,2025-01,0.8981482
E05011221,2025-02,1.0991348
E05011222,2024-08,0.7082793
E05011222,2024-09,0.77504265
E05011222,2024-10,0.83286047
E05011222,2024-11,0.83286047
E05011222,2024-12,0.84422183
E05011222,2025-01,0.83286047
E05011222,2025-02,0.79170203
E05011223,2024-08,1.3319882
E05011223,2024-09,1.430517
E05011223,2024-10,1.4471763
E05011223,2024-11,1.5882567
E05011223,2024-12,1.6478865
E05011223,2025-01,1.6596786
E05011223,2025-02,1.6947219
E05011224,2024-08,1.4130806
E05011224,2024-09,1.3717015
E05011224,2024-10,1.319792
E05011224,2024-11,1.3883609
E05011224,2024-12,1.4491634
E05011224,2025-01,1.4001529
E05011224,2025-02,1.4804308
E05011225,2024-08,2.1327934
E05011225,2024-09,2.272502
E05011225,2024-10,2.3438978
E05011225,2024-11,2.5177302
E05011225,2024-12,2.4248135
E05011225,2025-01,2.2296004
E05011225,2025-02,2.2296004
E05011226,2024-08,1.1052144
E05011226,2024-09,1.1426821
E05011226,2024-10,1.1593415
