ward_code,ward_name,2007,2010,2015,2019,pct_change_2007_2019,rank_2007,rank_2010,rank_2015,rank_2019,predicted_rank_2024,predicted_rank_2024_int,r1,r2,r3,mean_annual_rate,imd_est_2024,rank_est_2024
E05013551,Kenton East,29.45938977092125,29.23530583226732,25.61951335327718,26.42279725498304,-10.307723749714487,233.0,230.0,282.0,200.0,229.0,218.0,-0.0025419684660701325,-0.026059004019717613,0.007748079320420986,-0.006950964388455587,25.517155624128403,206.0
E05013552,Kenton West,12.894482503394196,12.22485437683513,10.98793818456529,11.690721392388678,-9.335474383626137,546.0,552.0,591.0,555.0,559.8,567.0,-0.01761906453621709,-0.021108623543549254,0.015620073000253587,-0.007702538359837585,11.24736302258438,536.0
E05013553,Marlborough,16.740564874405173,15.493655856358464,14.015282115830331,14.691652047403547,-12.239209622694563,482.0,490.0,526.0,478.0,490.80000000000007,505.0,-0.025471377809694218,-0.01985667235693378,0.01185247307165449,-0.011158525698324503,13.890056148524204,466.0
E05013554,North Harrow,9.56729339061157,9.490163377651871,8.279803687202733,9.678477170225278,1.1621236547717284,606.0,605.0,636.0,606.0,611.8,624.0,-0.0026945348473240704,-0.026918378499717455,0.03979266035750939,0.0033932490034892884,9.843802766420092,582.0
E05013555,Pinner,15.696352949117188,15.664212306405698,13.379995845125285,15.024967376722776,-4.277334834218115,499.0,485.0,539.0,465.0,490.6,504.0,-0.0006830165241829,-0.031031891173719073,0.029412386853782557,-0.0007675069480398052,14.967396981652334,437.0
E05013556,Pinner South,11.497001042076487,11.465364424446518,8.79922897485026,10.579361131434164,-7.981558906396232,574.0,574.0,628.0,582.0,588.0,600.0,-0.000918085229671739,-0.0515567475201989,0.04713748309648769,-0.00177911655112765,10.485585817587202,566.0
E05013557,Rayners Lane,8.674173779785368,8.944268957263457,8.007901204103169,8.69141176585633,0.1987277002811907,623.0,615.0,640.0,628.0,626.8000000000001,637.0,0.010273381667575299,-0.021874071985085397,0.020687755311682876,0.0030290216647242594,8.823843992259834,610.0
E05013558,Roxbourne,14.83133503275188,14.80476077038199,14.136283858021056,13.45299957436266,-9.293401135807787,517.0,506.0,520.0,511.0,513.0,526.0,-0.0005976119645187961,-0.009198232522793282,-0.012309292530287008,-0.007368379005866362,12.964615993571936,492.0
E05013559,Roxeth,22.208765533285906,21.83423525191612,21.81298226848395,22.12272059809807,-0.3874368211005265,369.0,347.0,350.0,286.0,327.6,331.0,-0.005653257333389172,-0.00019475161740256652,0.0035311830695603508,-0.000772275293743796,22.037428285425683,260.0
E05013560,Stanmore,23.738235929128585,25.47324099605113,24.705019349016368,25.55776315757388,7.6649639588955,328.0,286.0,301.0,217.0,269.8,276.0,0.023792446054273997,-0.006105702572899108,0.008519757498815617,0.00873550032673017,26.6937363771324,175.0
E05013561,Wealdstone North,16.45259947691886,16.77227999723219,15.834403135300509,15.386264723230456,-6.481253951294145,486.0,470.0,479.0,455.0,469.0,481.0,0.006435296731796658,-0.011442537834684963,-0.007151747708198375,-0.004052996270362226,15.076979600132058,435.0
E05013562,Wealdstone South,11.93976511092562,11.089548785295628,10.13643919946079,10.43161817856712,-12.631294823199262,567.0,581.0,604.0,585.0,584.4000000000001,595.0,-0.024323081799398127,-0.017812712393303953,0.007201968023436978,-0.011644608723088368,9.838238814870499,583.0
E05013563,West Harrow,9.973235917776725,9.927013082760762,8.699759352650002,9.9829117061047,0.097017541826422,599.0,601.0,631.0,602.0,607.0,616.0,-0.0015472888072571855,-0.026047606815446378,0.034993202752390484,0.002466102376562307,10.106614743446988,573.0
E05013564,Belmore,137.80517803967768,136.3290665519927,123.87088632509996,121.34080717219658,-11.947570549736955,25.0,24.0,35.0,26.0,27.200000000000003,19.0,-0.0035833524668387184,-0.01898385050603335,-0.005145866726155579,-0.009237689899675883,115.83885738566724,29.0
E05013565,Charville,14.124796500473394,15.136365983054008,14.84728588865613,14.752784257059783,4.445995073736758,524.0,498.0,503.0,475.0,495.00000000000006,512.0,0.02332395383834407,-0.0038491950942050046,-0.0015950395553802066,0.005959906396252952,15.19768190839027,433.0
E05013566,Colham & Cowley,27.479240487647168,30.62131932304842,28.53957848109312,26.17535365360673,-4.744988620142445,259.0,209.0,233.0,202.0,221.00000000000003,211.0,0.03674764575037859,-0.013982254175780917,-0.021386391062259147,0.0004596668374461747,26.235568696047665,189.0
E05013567,Eastcote,11.426070149615716,11.3982451084597,9.018836392044673,10.432859996874589,-8.692491291719676,577.0,575.0,623.0,584.0,588.6,601.0,-0.0008124011765917594,-0.04574926451319783,0.037082289342843966,-0.003159792115648541,10.269070013478089,571.0
E05013568,Harefield Village,10.775796358914892,11.246166781453647,10.547970474958625,11.02197815476541,2.284580996622584,588.0,576.0,598.0,575.0,582.4000000000001,591.0,0.014343494310248728,-0.0127369635935759,0.011050061906549002,0.0042188642077406096,11.256449375930398,534.0
E05013569,Hayes Town,28.817830787666296,28.82758434211801,28.215100145331785,26.561393139485165,-7.830005196459338,242.0,232.0,237.0,197.0,221.00000000000003,211.0,0.000112805787371828,-0.004285872846586769,-0.014986203443268398,-0.00638642350082778,25.72399608382305,203.0
E05013570,Heathrow Villages,23.75757355996575,26.30781712517124,24.33088217326671,24.449892469613964,2.914097720883634,326.0,270.0,308.0,240.0,276.8,280.0,0.03457245309663293,-0.015502521261526958,0.0012205951054604647,0.006763508980188811,25.287988325894595,208.0
E05013571,Hillingdon East,20.28903839176673,20.903104669599728,19.20645008621894,19.00969556319515,-6.3055863164551695,397.0,374.0,414.0,357.0,379.8,388.0,0.009988534766987911,-0.016787794177235194,-0.0025709451444795306,-0.003123401518242271,18.714669736819896,333.0
E05013572,Hillingdon West,6.86859508960613,7.494718357985384,7.09770363534475,7.170409353503895,4.394119320768876,647.0,642.0,650.0,648.0,647.0,651.0,0.02950659742753392,-0.01082641856052069,0.0025511099147002003,0.007077096260571143,7.427754566225051,632.0
E05013573,Ickenham & South Harefield,18.054835485758417,19.16424502615623,16.168108139800857,17.323878558418347,-4.048538287245244,449.0,411.0,470.0,408.0,429.20000000000005,442.0,0.02007646204988567,-0.033429584901427556,0.017411123064767553,0.0013526667377418884,17.44136313521615,364.0
E05013574,Northwood,9.185132074502896,10.042735028579836,9.09240481332663,9.024568321707774,-1.748083222894904,614.0,600.0,622.0,619.0,614.8000000000001,627.0,0.03020155147907322,-0.019685668434006875,-0.0018704379059132359,0.0028818150463843692,9.155355646141354,600.0
E05013575,Northwood Hills,12.265707606583485,13.00094761167842,10.31686356286554,11.277383664115447,-8.057618640261447,561.0,540.0,601.0,566.0,566.8,574.0,0.0195944595926687,-0.04519532717631758,0.022504356683107796,-0.001032170300180361,11.219302784244428,539.0
E05013576,Pinkwell,26.391667250738774,29.64452418746877,26.18467783249723,25.44352957117403,-3.592564541515292,275.0,225.0,274.0,223.0,244.0,243.0,0.039503331896809435,-0.02451510217349051,-0.007152536552841204,0.0026118977234925733,25.777549355608325,200.0
E05013577,Ruislip,20.68549010688366,21.40707621204725,18.10306196046772,19.01148877448832,-8.092635580523513,390.0,360.0,435.0,356.0,379.4,387.0,0.011495247695776811,-0.032972250722585805,0.012315816609051344,-0.0030537288059192167,18.72297658499877,332.0
E05013578,Ruislip Manor,7.887218066604995,8.400479399800002,6.213111756471431,6.718243112809095,-14.821131404308671,634.0,624.0,664.0,655.0,646.4000000000001,650.0,0.021237469730784442,-0.05854185114741739,0.01973338420230175,-0.005856999071443732,6.523790591111618,652.0
E05013579,South Ruislip,17.111273853723134,17.41427915423464,13.331229025415666,13.482269564439497,-21.208264915320875,471.0,446.0,540.0,509.0,495.0,511.0,0.005868142071622895,-0.05203361495208836,0.0028205018343843147,-0.01444832368202705,12.536029660204372,505.0
E05013580,Uxbridge,18.700264960333847,21.466078417588832,18.17211651392548,17.763259442905184,-5.010653696170595,433.0,356.0,434.0,397.0,403.40000000000003,412.0,0.04705216030277981,-0.03276821402561736,-0.005672876046969977,0.0028703567433974917,18.019661613033403,348.0
E05013581,West Drayton,23.872234274171337,27.59588571235482,24.70523542806789,24.93802554742747,4.464564401536846,322.0,248.0,300.0,234.0,267.6,274.0,0.04950317461833409,-0.021887223576453563,0.0023473976306935818,0.009987782890858036,26.208530311210314,191.0
E05013582,Wood End,33.495081769872435,33.23355292636148,32.150404318821714,30.982442281944373,-7.50151770099002,185.0,185.0,184.0,140.0,166.8,147.0,-0.002609462525446471,-0.006605083757076136,-0.00920843046315778,-0.006140992248560129,30.04274009322865,135.0
E05013583,Yeading,76.15080459611391,76.77301037601106,70.05421011213603,68.18380029179795,-10.462140678054675,40.0,39.0,51.0,38.0,41.2,30.0,0.0027161840853326957,-0.018150023477399135,-0.006742756971332198,-0.007392198787799546,65.7006436216776,39.0
E05013584,Yiewsley,20.799447679822208,23.46710705237169,22.58847522090408,23.070595983375984,10.919272177390768,387.0,324.0,336.0,266.0,315.79999999999995,319.0,0.04104439590373987,-0.0076029324780763075,0.00529373137024991,0.012911731598637824,24.598964159346096,220.0
E05013585,Alexandra Park,101.92158984027104,101.97735430374968,81.68168900279055,78.74292589859897,-22.74166246621259,31.0,32.0,45.0,36.0,36.0,27.0,0.00018234375562720118,-0.04341361832696666,-0.009118523823556934,-0.0174499327982988,72.10825677027552,36.0
E05013586,Bounds Green,27.615521982164665,25.88838933468419,22.43053382237428,19.533861976371306,-29.264918515800115,257.0,278.0,338.0,342.0,311.40000000000003,313.0,-0.021297739099140678,-0.02826708048981219,-0.033977756982135676,-0.02784752552369618,16.96133549022806,378.0
E05013587,Bruce Castle,48.49494404484905,49.16194530732881,45.38836053713885,40.775039835524176,-15.918987765374796,75.0,70.0,85.0,64.0,71.6,55.0,0.004563818924511409,-0.015845942517172973,-0.026440554863007115,-0.012574226151889559,38.275131289043465,78.0
E05013588,Crouch End,23.616444955657386,24.12333113903132,17.39125718376779,17.019354606830458,-27.934307476056315,332.0,311.0,453.0,416.0,385.6,398.0,0.007103839982983251,-0.06334697548313561,-0.005389528224734819,-0.020544221241629062,15.341479767169828,429.0
E05013589,Fortis Green,21.456227577311203,20.83903603583218,16.078514582066546,16.035860911290804,-25.26244022389165,378.0,377.0,474.0,443.0,423.0,434.0,-0.009681817423108363,-0.05054658777250487,-0.0006638699240135715,-0.0202974250398756,14.473165499092017,447.0
